fiyat,marka_Hammer Jack ,marka_Harley Davidson ,marka_New Balance ,marka_Skechers ,marka_Vans ,marka_adidas ,taban_EVA,taban_Kauçuk,taban_Poliüretan,taban_Termoplastik,dış materyal_Deri,dış materyal_Nubuk,dış materyal_Sentetik,dış materyal_Süet,dış materyal_Tekstil,menşei_Endonezya,menşei_Türkiye,menşei_Vietnam,menşei_Çin,cinsiyet_erkek,cinsiyet_kadın,tip_ayakkabı,tip_bot
2799,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
2799,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
2799,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2799,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
2799,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
2799,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
263912,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
3499,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False
2449,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
2499,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
2999,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
1599,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
206940,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
3749,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
1699,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True
1249,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True
2999,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True
3749,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
2549,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
2999,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
