marka,taban,dış materyal,menşei,cinsiyet,tip,fiyat
Vans ,Kauçuk,Süet,Vietnam,kadın,ayakkabı,206940.0
Harley Davidson ,Kauçuk,Deri,Türkiye,erkek,bot,2799.0
Harley Davidson ,Kauçuk,Nubuk,Türkiye,erkek,bot,2799.0
Harley Davidson ,Kauçuk,Deri,,erkek,bot,2799.0
Harley Davidson ,Kauçuk,Deri,Türkiye,kadın,bot,2799.0
Harley Davidson ,Kauçuk,,,kadın,bot,2799.0
Harley Davidson ,Kauçuk,Deri,,kadın,bot,2799.0
Skechers ,Kauçuk,,Çin,erkek,ayakkabı,263912.0
Skechers ,Poliüretan,Deri,Vietnam,erkek,ayakkabı,3499.0
adidas ,Kauçuk,Sentetik,Endonezya,erkek,ayakkabı,2449.0
Harley Davidson ,Kauçuk,Deri,Türkiye,erkek,bot,2499.0
Harley Davidson ,Kauçuk,Deri,Türkiye,kadın,bot,2999.0
New Balance ,Kauçuk,,,kadın,,1599.0
Harley Davidson ,Termoplastik,Deri,,kadın,,3749.0
Skechers ,Poliüretan,Deri,,erkek,,2849.0
Hammer Jack ,Termoplastik,Deri,Türkiye,kadın,bot,1699.0
Hammer Jack ,Termoplastik,Deri,Türkiye,kadın,bot,1249.0
Skechers ,EVA,Tekstil,Çin,kadın,bot,2999.0
Harley Davidson ,Kauçuk,Deri,Türkiye,kadın,,3749.0
Skechers ,,Tekstil,Vietnam,erkek,ayakkabı,2549.0
F By Fabrika ,Termo,Deri,Türkiye,erkek,bot,48499.0
F By Fabrika ,Termo,,Türkiye,erkek,bot,60999.0
F By Fabrika ,Termo,Deri,Türkiye,erkek,bot,57499.0
F By Fabrika ,,,Türkiye,erkek,bot,50999.0
Harley Davidson ,Kauçuk,,,kadın,,2999.0
Harley Davidson ,Kauçuk,,,kadın,bot,2999.0
Skechers ,,,,kadın,,2549.0
Pierre Cardin ,EVA,Tekstil,Türkiye,kadın,bot,89990.0
Fabrika ,EVA,Deri,Türkiye,erkek,ayakkabı,1449.0
Skechers ,Kauçuk,Tekstil,Çin,kadın,bot,3599.0
Fabrika ,EVA,Deri,Türkiye,erkek,bot,1599.0
Under Armour ,Kauçuk,Mesh,Vietnam,erkek,ayakkabı,2660.0
Nike ,Termo,Sentetik,Hindistan,erkek,ayakkabı,2399.0
Harley Davidson ,Kauçuk,Deri,Türkiye,erkek,bot,3249.0
adidas ,Kauçuk,Microfiber,Myanmar,erkek,ayakkabı,1249.0
adidas ,Kauçuk,,Vietnam,erkek,ayakkabı,2169.0
Caterpillar ,Kauçuk,Nubuk,Türkiye,erkek,bot,2649.0
Hammer Jack ,,,,erkek,bot,1649.0
